R,Team,TotalTackles,DribbledPast,TotalAttemptedTackles,Rating,R,Team,Total,Rating,R,Team,Fouled,Fouls,Rating,R,Team,Yellow,Red,Rating,R,Team,CaughtOffside,Rating,R,Team,Total,Rating,R,Team,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Unsuccessful,Successful,Total Dribbles,Rating,R,Team,UnsuccessfulTouches,Dispossessed,Rating,R,Team,Total,Won,Lost,Rating,R,Team,Total,AccLB,InAccLB,AccSP,InAccSP,Rating,R,Team,Total,Long,Short,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating,R,Team,Total,OpenPlay,Counter,SetPiece,PenaltyTaken,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Rating,League,R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating,R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating,R,Team,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Rating
11,Burnley,14.7,8.9,23.6,6.73,11,Burnley,10.3,6.73,11,Burnley,9.8,11.1,6.73,11,Burnley,2,0,6.73,11,Burnley,2.4,6.73,11,Burnley,20.7,6.73,11,Burnley,4.5,1.9,7.1,6.73,11,Burnley,3,0.2,1.8,1.1,6.73,11,Burnley,10.4,3.4,1.7,5.2,6.73,11,Burnley,1.2,0.4,0.5,0.2,6.73,11,Burnley,5.8,6.9,12.7,6.73,11,Burnley,14.2,7.9,6.73,11,Burnley,50,25.6,24.4,6.73,11,Burnley,325.7,23.8,46.6,199,56.3,6.73,11,Burnley,7.4,2.1,5.2,6.73,11,Burnley,0.3,0.1,0,0,0,0.4,0.8,6.73,11,Burnley,10.4,6.6,0.1,3.6,0.1,6.73,11,Burnley,2.8,0.8,0.2,0.4,NA,4.2,6.73,PL,11,Burnley,13.9,14.7,10.3,11.1,2.4,6.73,11,Burnley,34,10.4,580,43.1,68.4,25.6,6.73,11,Burnley,5,14.9,1.8,2.9,4.4,5.3,6.73
12,West Ham,18.9,12.7,31.5,6.71,12,West Ham,11.4,6.71,12,West Ham,9,10.3,6.71,12,West Ham,1.8,0,6.71,12,West Ham,2,6.71,12,West Ham,19.8,6.71,12,West Ham,3.3,1.4,7,6.71,12,West Ham,3.5,0.2,2.1,1.2,6.71,12,West Ham,10.4,3.1,1,6.3,6.71,12,West Ham,1.2,0.2,0.9,0.1,6.71,12,West Ham,6.8,11,17.8,6.71,12,West Ham,13.6,8.7,6.71,12,West Ham,44.7,22.5,22.2,6.71,12,West Ham,400.3,26.8,35.8,277,60.7,6.71,12,West Ham,8.2,1.7,6.5,6.71,12,West Ham,0.3,0.1,0.1,0.1,0,0.5,0.9,6.71,12,West Ham,10.4,6.6,0.6,3,0.1,6.71,12,West Ham,3,1.1,0.3,0.5,NA,4.8,6.71,PL,12,West Ham,13.5,18.9,11.4,10.3,2,6.71,12,West Ham,35,10.4,531,45.5,75.9,22.5,6.71,12,West Ham,4.6,14.7,2.1,3,7.3,2.8,6.71
13,Brighton,17.7,10.9,28.6,6.68,13,Brighton,11.1,6.68,13,Brighton,8.4,10,6.68,13,Brighton,1.6,0.1,6.68,13,Brighton,1.8,6.68,13,Brighton,17.3,6.68,13,Brighton,3.1,1.4,7.6,6.68,13,Brighton,3.2,0.3,2.1,0.7,6.68,13,Brighton,13,5.1,1.3,6.6,6.68,13,Brighton,1.1,0.2,0.6,0.1,6.68,13,Brighton,7,9.4,16.3,6.68,13,Brighton,17.1,10.9,6.68,13,Brighton,35.5,19.5,16,6.68,13,Brighton,513.9,30.2,29.3,388.7,65.7,6.68,13,Brighton,9.7,1.9,7.8,6.68,13,Brighton,0.3,0,0,0.1,0,0.3,0.7,6.68,13,Brighton,13,9.2,0.3,3.4,0,6.68,13,Brighton,2.4,1,0.2,0.5,NA,6.8,6.68,PL,13,Everton,10.9,18.3,10.8,11.9,1.7,6.68,13,Everton,37,13.3,533,49.4,77.4,22.9,6.68,13,Brighton,4.3,14.2,2,2.4,7.1,1.6,6.68
14,Everton,18.3,10.3,28.6,6.68,14,Everton,10.8,6.68,14,Everton,10.2,11.9,6.68,14,Everton,1.8,0.1,6.68,14,Everton,1.7,6.68,14,Everton,17.8,6.68,14,Everton,2.3,1.5,6.6,6.68,14,Everton,2.6,0.2,1.5,0.9,6.68,14,Everton,13.3,4.2,1.4,7.7,6.68,14,Everton,1.3,0.4,0.7,0,6.68,14,Everton,6.6,9.9,16.5,6.68,14,Everton,16.3,9.1,6.68,14,Everton,46.1,22.9,23.2,6.68,14,Everton,412,30.3,33,288.5,60.1,6.68,14,Everton,9.6,1.6,8,6.68,14,Everton,0.4,0,0.1,0,0,0.4,0.9,6.68,14,Everton,13.3,7.8,0.5,5.1,0,6.68,14,Everton,3.1,1.3,0.5,0.7,NA,5.6,6.68,PL,14,Brighton,12.3,17.7,11.1,10,1.8,6.68,14,Brighton,32,13,452,54.2,81.5,19.5,6.68,14,Everton,5.4,17.7,2.2,3.8,8.1,2.6,6.68
15,Newcastle United,16.1,9.7,25.8,6.67,15,Newcastle United,10.9,6.67,15,Newcastle United,10.8,9.5,6.67,15,Newcastle United,1.8,0.1,6.67,15,Newcastle United,2.1,6.67,15,Newcastle United,26.4,6.67,15,Newcastle United,3.9,2,6.9,6.67,15,Newcastle United,4,0.5,2.3,1.2,6.67,15,Newcastle United,10.3,4.4,0.4,5.4,6.67,15,Newcastle United,0.9,0.2,0.6,0.1,6.67,15,Newcastle United,8.1,10.7,18.8,6.67,15,Newcastle United,16.4,7.5,6.67,15,Newcastle United,41.1,20.4,20.7,6.67,15,Newcastle United,328.9,24.9,36,219.1,49,6.67,15,Newcastle United,7.6,1.8,5.8,6.67,15,Newcastle United,0.1,0,0,0,0,0.4,0.6,6.67,15,Newcastle United,10.3,6.7,0.7,2.9,0,6.67,15,Newcastle United,2,0.9,0.2,0.3,NA,5,6.67,PL,15,Newcastle United,15.3,16.1,10.9,9.5,2.1,6.67,15,Newcastle United,25,10.3,523,40.8,74.2,20.4,6.67,15,Newcastle United,3.5,12.4,1.7,2.3,7.1,3.9,6.67
16,Aston Villa,15.3,10.2,25.4,6.65,16,Aston Villa,10.9,6.65,16,Aston Villa,13.1,11.7,6.65,16,Aston Villa,1.9,0,6.65,16,Aston Villa,1.8,6.65,16,Aston Villa,23.3,6.65,16,Aston Villa,5.6,2.7,7.2,6.65,16,Aston Villa,3.5,0.3,2,1.2,6.65,16,Aston Villa,12.3,4.5,0.8,6.9,6.65,16,Aston Villa,1.2,0.3,0.7,0.1,6.65,16,Aston Villa,6.5,10.1,16.5,6.65,16,Aston Villa,15.3,8.9,6.65,16,Aston Villa,38.3,18.8,19.5,6.65,16,Aston Villa,379.3,26.1,34.6,268,50.6,6.65,16,Aston Villa,9.9,1.8,8.1,6.65,16,Aston Villa,0.4,0,0.1,0.1,0,0.5,1,6.65,16,Aston Villa,12.3,8.5,0.4,3.2,0.1,6.65,16,Aston Villa,3.1,0.8,0.2,0.5,NA,6.4,6.65,PL,16,Aston Villa,18.1,15.3,10.9,11.7,1.8,6.65,16,Aston Villa,34,12.3,531,47.1,77.5,18.8,6.65,16,Aston Villa,4.5,16.6,2.4,2.7,9,3,6.65
17,Bournemouth,13.1,9.6,22.7,6.64,17,Bournemouth,13.2,6.64,17,Bournemouth,10.2,9.3,6.64,17,Bournemouth,2,0.1,6.64,17,Bournemouth,1.6,6.64,17,Bournemouth,27.6,6.64,17,Bournemouth,4.7,2.7,7.1,6.64,17,Bournemouth,3.5,0.4,1.7,1.4,6.64,17,Bournemouth,10.2,3.7,0.8,5.8,6.64,17,Bournemouth,1,0.3,0.6,0.1,6.64,17,Bournemouth,6.9,8.5,15.3,6.64,17,Bournemouth,15.4,10,6.64,17,Bournemouth,42.8,20.9,21.9,6.64,17,Bournemouth,397.8,21.7,34.4,280.1,61.6,6.64,17,Bournemouth,7.4,1.4,6,6.64,17,Bournemouth,0.1,0.1,0.1,0,0,0.4,0.6,6.64,17,Bournemouth,10.2,5.8,0.4,4,0,6.64,17,Bournemouth,2,0.9,0.3,0.2,NA,4.9,6.64,PL,17,Southampton,12.2,19.1,10.6,12.2,1.6,6.64,17,Southampton,35,12.8,423,48.1,71.7,21.6,6.64,17,Bournemouth,3.1,13.4,1.9,2.8,7.5,2.7,6.64
18,Southampton,19.1,13.3,32.4,6.64,18,Southampton,10.6,6.64,18,Southampton,9.6,12.2,6.64,18,Southampton,1.4,0.1,6.64,18,Southampton,1.6,6.64,18,Southampton,21.5,6.64,18,Southampton,3,1.5,10.3,6.64,18,Southampton,3,0.3,1.9,0.9,6.64,18,Southampton,12.8,5.1,1.4,6.2,6.64,18,Southampton,1.2,0.4,0.6,0.2,6.64,18,Southampton,6.9,11.2,18.1,6.64,18,Southampton,18.1,10,6.64,18,Southampton,45.6,21.6,24,6.64,18,Southampton,394,22.9,42.7,259.4,69,6.64,18,Southampton,8.8,1.5,7.3,6.64,18,Southampton,0.2,0,0.1,0.1,0,0.4,0.7,6.64,18,Southampton,12.8,8.2,0.4,4.1,0.1,6.64,18,Southampton,2.6,0.8,0.2,0.6,NA,5.8,6.64,PL,18,Bournemouth,15.6,13.1,13.2,9.3,1.6,6.64,18,Bournemouth,29,10.2,573,46.3,75.9,20.9,6.64,18,Southampton,4.4,14.1,1.5,4,6.4,3.3,6.64
19,Watford,17.8,12.3,30.1,6.63,19,Watford,11.5,6.63,19,Watford,8.2,12.1,6.63,19,Watford,2.1,0.1,6.63,19,Watford,1.8,6.63,19,Watford,23.9,6.63,19,Watford,3.4,1.6,6.9,6.63,19,Watford,3.1,0.2,2,0.9,6.63,19,Watford,11.4,4,0.6,6.7,6.63,19,Watford,0.9,0.1,0.8,0,6.63,19,Watford,7,8.9,15.9,6.63,19,Watford,14.1,8.6,6.63,19,Watford,41.6,20.9,20.7,6.63,19,Watford,380.3,23.2,37.9,258.4,60.8,6.63,19,Watford,8.3,1.1,7.2,6.63,19,Watford,0.1,0,0,0,0,0.5,0.6,6.63,19,Watford,11.4,8,0.5,2.8,0.2,6.63,19,Watford,1.7,0.4,0.1,0.2,NA,6.4,6.63,PL,19,Watford,12.8,17.8,11.5,12.1,1.8,6.63,19,Watford,27,11.4,613,44.5,74.1,20.9,6.63,19,Watford,3.8,13.2,1.5,3.1,4.4,4,6.63
20,Norwich,16.9,11.7,28.6,6.62,20,Norwich,10.8,6.62,20,Norwich,11.5,9.6,6.62,20,Norwich,1.8,0,6.62,20,Norwich,1.2,6.62,20,Norwich,24.1,6.62,20,Norwich,4.6,2.3,7.4,6.62,20,Norwich,3.6,0.3,2,1.2,6.62,20,Norwich,11.6,4.3,0.8,6.4,6.62,20,Norwich,0.9,0.1,0.7,0.1,6.62,20,Norwich,7.9,12,19.9,6.62,20,Norwich,16.1,11.1,6.62,20,Norwich,31.7,14.4,17.2,6.62,20,Norwich,463.8,23.3,33.9,350.7,55.9,6.62,20,Norwich,8.5,1.1,7.4,6.62,20,Norwich,0.1,0,0.1,0,0,0.4,0.6,6.62,20,Norwich,11.6,8.2,0.2,3.1,0.1,6.62,20,Norwich,1.6,1,0.5,0.3,NA,6.3,6.62,PL,20,Norwich,15.4,16.9,10.8,9.6,1.2,6.62,20,Norwich,25,11.6,531,50.5,80.6,14.4,6.62,20,Norwich,2.8,10,1.7,3,8.2,2.7,6.62
1,Los Angeles FC,17.3,9.1,26.4,7.02,1,Los Angeles FC,9.8,7.02,1,Los Angeles FC,12.6,11.6,7.02,1,Los Angeles FC,1.5,0,7.02,1,Los Angeles FC,2.2,7.02,1,Los Angeles FC,13.9,7.02,1,Los Angeles FC,2.4,1.2,8.3,7.02,1,Los Angeles FC,2.6,0.1,1.7,0.9,7.02,1,Los Angeles FC,18.3,6.9,1.4,10,7.02,1,Los Angeles FC,2.5,0.5,1.7,0.2,7.02,1,Los Angeles FC,10.9,14.4,25.3,7.02,1,Los Angeles FC,16.4,12.8,7.02,1,Los Angeles FC,22.2,11.8,10.5,7.02,1,Los Angeles FC,526.6,22.3,21.5,421.9,60.8,7.02,1,Los Angeles FC,13.5,1.6,11.9,7.02,1,Los Angeles FC,0.2,0.1,0.2,0.1,0,1.2,1.7,7.02,1,Los Angeles FC,18.3,13,0.5,4.5,0.3,7.02,1,Los Angeles FC,2.1,1.2,0.7,0.4,NA,10.4,7.02,MLS,1,Los Angeles FC,10.3,17.3,9.8,11.5,2.2,7,1,Los Angeles FC,91,18,511,55.5,84.4,12,7,1,Los Angeles FC,2.9,9.7,3,3.4,10.7,1.5,7
2,LA Galaxy,16.9,10,26.9,6.82,2,LA Galaxy,10.6,6.82,2,LA Galaxy,8.5,11.3,6.82,2,LA Galaxy,2.1,0.1,6.82,2,LA Galaxy,2.5,6.82,2,LA Galaxy,19.1,6.82,2,LA Galaxy,3.8,1.4,6.6,6.82,2,LA Galaxy,4.2,0.1,2.4,1.7,6.82,2,LA Galaxy,13.8,4.1,1.1,8.7,6.82,2,LA Galaxy,1.7,0.4,1.2,0.1,6.82,2,LA Galaxy,6.2,10,16.2,6.82,2,LA Galaxy,14.3,8.4,6.82,2,LA Galaxy,30.6,17.5,13.1,6.82,2,LA Galaxy,449.5,30.3,26.5,342.1,50.6,6.82,2,LA Galaxy,10.9,2.1,8.8,6.82,2,LA Galaxy,0.4,0.1,0.1,0,0,0.9,1.3,6.82,2,LA Galaxy,13.8,9.9,0.4,3.3,0.2,6.82,2,LA Galaxy,3.3,1.2,0.3,0.1,NA,7.3,6.82,MLS,2,LA Galaxy,16.6,17.4,10.7,11.2,2.5,6.82,2,LA Galaxy,63,13.9,763,50,82.7,17.4,6.82,2,Atlanta United,4,12.8,2.6,3.1,10,2.7,6.82
3,Atlanta United,14.9,9.5,24.4,6.81,3,Atlanta United,9.4,6.81,3,Atlanta United,11.8,10.3,6.81,3,Atlanta United,1.6,0.1,6.81,3,Atlanta United,1.6,6.81,3,Atlanta United,13.4,6.81,3,Atlanta United,2.6,0.8,7.5,6.81,3,Atlanta United,2.7,0.3,1.3,1,6.81,3,Atlanta United,15,5.9,0.6,8.5,6.81,3,Atlanta United,1.7,0.3,1.1,0.2,6.81,3,Atlanta United,7.9,12.3,20.2,6.81,3,Atlanta United,16,9.4,6.81,3,Atlanta United,24,12.8,11.2,6.81,3,Atlanta United,493.4,33.8,27.7,372.5,59.3,6.81,3,Atlanta United,11.2,2.1,9.1,6.81,3,Atlanta United,0.1,0,0.2,0,0,0.8,1.1,6.81,3,Atlanta United,15,10.3,0.8,3.6,0.3,6.81,3,Atlanta United,2.2,1.3,0.7,0.2,NA,8.1,6.81,MLS,3,Atlanta United,11.2,14.9,9.5,10.2,1.7,6.82,3,Atlanta United,62,15,612,54.3,82.6,12.6,6.82,3,LA Galaxy,5.7,15.3,2.3,3.2,8.2,2.2,6.82
