"First","Last","Player","Team","Season","Min","Pos","Shots","SoT","Dist","Solo","G","xG","xPlace","G-xG","KeyP","Dist.key","A","xA","A-xA","xG+xA","PA","xPA","xG/shot","xA/pass","G-xG/shot","A-xA/pass","Comp ($K)","Team/96","Min/96","Pos/96","Shots/96","SoT/96","G/96","xG/96","xPlace/96","G-xG/96","KeyP/96","A/96","xA/96","A-xA/96","xG+xA/96","PA/96","xPA/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Josef","Martinez","Josef Martinez","ATL",2018,3053,"F",77,43,12.6466520633398,0.181818181818182,21,20.435,-0.851771321960786,0.564858741729936,35,20.1360615593558,5,4.45660429651917,0.543395703480827,24.8917455547892,12.5506894591867,11.0632793286856,0.265391444912598,0.127331551329119,0.00733582781467449,0.0155255915280236,1387,"ATL",3053,"F",2.421225024566,1.35211267605634,0.660334097608909,0.642572407728112,-0.0267835070121964,0.0177616898807972,1.10055682934818,0.157222404192597,0.140135608406761,0.0170867957858367,0.782708016134873,0.394649914209606,0.347879074862044,1387,506,506,"Martinez"
"Alberth","Elis","Alberth Elis","HOU",2018,2587,"Wing",79,37,16.1950529114955,0.139240506329114,8,12.11,0.514753757723009,-4.10999215068012,35,16.5221332216286,7,7.53707005368803,-0.537070053688027,19.6470622043682,4.60191279015434,6.81867217359997,0.153291039882027,0.215344858676801,-0.0520252170972168,-0.0153448586768008,650,"HOU",2587,"Wing",2.93158098183224,1.37301894085814,0.296868960185543,0.449385097203437,0.0191018016008538,-0.152516137017894,1.29880170081175,0.25976034016235,0.279690268710495,-0.0199299285481448,0.729075365913932,0.170770633109709,0.25303151475284,650,502,472,"Elis"
"Miguel","Almiron","Miguel Almiron","ATL",2018,2951,"CAM",109,41,22.2071658807774,0.174311926605505,8,10.66,0.555544004460641,-2.65965284117055,47,18.8308557565531,9,8.16721285219938,0.832787147800616,18.8268656933699,3.52111297836793,4.6694183329278,0.0977949801942252,0.173770486217008,-0.0244004847813812,0.0177188754851195,2297,"ATL",2951,"CAM",3.54591663842765,1.3337851575737,0.260250762453406,0.346772847425406,0.0180725938421625,-0.0865220849720003,1.52897322941376,0.292782107760081,0.265690421488018,0.0270916862720634,0.612463268913424,0.114546542163105,0.151902460169796,2297,500,475,"Almiron"
"Gyasi","Zardes","Gyasi Zardes","CLB",2018,3135,"F",68,30,13.8731034484166,0.191176470588235,12,13.818,-0.380734403445965,-1.81846354044096,28,23.2073155186318,0,3.58849091312196,-3.58849091312196,17.4069544535629,9.28386566313872,9.87378704304495,0.203212699124132,0.128160389754356,-0.0267421108888376,-0.128160389754356,630,"CLB",3135,"F",2.0822966507177,0.91866028708134,0.367464114832536,0.423149122769484,-0.0116588525457138,-0.0556850079369479,0.857416267942584,0,0.109886803081247,-0.109886803081247,0.53303592585073,0.284290623177454,0.302355201318123,630,505,502,"Zardes"
"Ola","Kamara","Ola Kamara","LAG",2018,2865,"F",55,23,14.079652022392,0.163636363636364,11,13.444,-2.82620945407856,-2.44409787644401,37,19.8302583164161,2,3.88978860928827,-1.88978860928827,17.3338864857323,8.05012268876405,10.5025936589487,0.244438143208073,0.105129421872656,-0.0444381432080729,-0.0510753678186018,925,"LAG",2865,"F",1.84293193717277,0.770680628272251,0.368586387434555,0.45048286078137,-0.0947002120738367,-0.0818964733468149,1.23979057591623,0.0670157068062827,0.13033846648924,-0.0633227596829577,0.58082132727061,0.269742330932408,0.351919368676816,925,504,497,"Kamara"
"Mauro","Manotas","Mauro Manotas","HOU",2018,2834,"F",87,39,18.9800397109774,0.160919540229885,17,13.174,0.84266941777633,3.82642138383117,35,21.2806881606709,1,3.97717469663413,-2.97717469663413,17.150753312803,9.19163760053308,8.47758094202856,0.15142044386401,0.113633562760975,0.0439818549865651,-0.0850621341895464,264,"HOU",2834,"F",2.94707127734651,1.32110091743119,0.575864502470007,0.446246840914682,0.028544906177321,0.129617661555325,1.18560338743825,0.0338743824982357,0.134724336936089,-0.100849954437853,0.580971177850771,0.311361047865623,0.287172819490029,264,503,505,"Manotas"
"Bradley","Wright-Phillips","Bradley Wright-Phillips","NYRB",2018,2702,"F",68,28,16.6541680820388,0.117647058823529,13,11.455,0.196149922162572,1.54505108087878,36,18.2352607506998,6,5.04763910972668,0.952360890273315,16.5025880288479,8.79289194166938,6.5381113334256,0.168455131163547,0.140212197492408,0.0227213394246879,0.0264544691742588,1635,"NYRB",2702,"F",2.4159881569208,0.994818652849741,0.461880088823094,0.40698560186367,0.00696905719008399,0.0548944869594236,1.27905255366395,0.213175425610659,0.179338769257499,0.03383665635316,0.586324371121169,0.312404747002317,0.232294111032146,1635,501,503,"Wright-Phillips"
"Sebastian","Giovinco","Sebastian Giovinco","TOR",2018,2543,"F",112,40,23.5449897666827,0.0714285714285714,11,8.868,0.802707203058675,2.13238389741734,37,18.2381673094909,6,7.01791686992806,-1.01791686992806,15.8855329725107,4.48676949672783,4.67370509228076,0.0791751437730595,0.189673428916974,0.0190391419412262,-0.0275112667548123,7116,"TOR",2543,"F",4.22807707432167,1.51002752654345,0.415257569799449,0.334758610242995,0.0303027493093326,0.0804989595564546,1.39677546205269,0.226504128981518,0.264931191314626,-0.0384270623331079,0.599689801557621,0.169378636132863,0.176435583507256,7116,492,498,"Giovinco"
"Maximiliano","Moralez","Maximiliano Moralez","NYC",2018,2973,"CAM",69,24,19.5625095099104,0.231884057971014,7,8.519,-0.800491191862312,-1.51862916915113,68,20.9210260897707,7,7.18180334740484,-0.181803347404841,15.700432516556,4.37035174164975,5.41682241959481,0.123458393755814,0.105614755108895,-0.0220091183934947,-0.00267357863830649,2000,"NYC",2973,"CAM",2.22805247225025,0.774974772956609,0.226034308779011,0.275071779427686,-0.0258483533194692,-0.0490374706486744,2.19576185671039,0.226034308779011,0.23190485077392,-0.00587054199490911,0.506976630201606,0.141121347863564,0.174912530198823,2000,489,459,"Moralez"
"Sebastian","Blanco","Sebastian Blanco","POR",2018,2736,"CAM",69,29,20.9123894546792,0.144927536231884,10,6.586,0.0894758339715347,3.41414553526762,57,19.496630820195,8,9.00248895086905,-1.00248895086905,15.5883434156014,6.50079751602085,3.97422280098259,0.0954471661555417,0.157938402646825,0.0494803700763423,-0.017587525453843,1375,"POR",2736,"CAM",2.42105263157895,1.01754385964912,0.350877192982456,0.231082612797627,0.00313950294636964,0.119794580184829,2,0.280701754385965,0.315876805293651,-0.0351750509076859,0.546959418091278,0.228098158456872,0.139446414069565,1375,473,488,"Blanco"
